symbol,interval,start_str,timelag,model,rows,split_mode,test_size,class_weight,label_mode,ret_bps,accuracy,precision,recall,f1,auc,confusion_matrix,best_threshold,trades,hit_rate,avg_net_ret_per_bar,avg_net_ret_per_trade,total_net_return,sharpe_like,sortino_like,cost_roundtrip,r2,mae_bps,mape_pct,log_loss,price_track_path
BTCUSDT,4h,120 days ago UTC,16,logreg,673,time,0.2,,direction,0.0,0.47761194029850745,0.0,0.0,0.0,0.5754464285714286,"[[64, 0], [70, 0]]",0.5,0,,0.0,,0.0,,,0.0023,,,,0.6936630247936734,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_logreg_20251016_212152.csv
BTCUSDT,4h,120 days ago UTC,16,sgdlog,673,time,0.2,,direction,0.0,0.47761194029850745,0.0,0.0,0.0,0.5571428571428572,"[[64, 0], [70, 0]]",0.5,0,,0.0,,0.0,,,0.0023,,,,1.4820230937064385,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_sgdlog_20251016_212158.csv
BTCUSDT,4h,120 days ago UTC,16,rf,673,time,0.2,,direction,0.0,0.44776119402985076,0.46875,0.42857142857142855,0.44776119402985076,0.4591517857142857,"[[30, 34], [40, 30]]",0.795,1,1.0,1.5049751471639223e-05,0.002016666697199656,0.002016666697199687,4.042682720927968,,0.0023,,,,0.7374616006533465,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_rf_20251016_212204.csv
BTCUSDT,4h,120 days ago UTC,16,hgb,673,time,0.2,,direction,0.0,0.4626865671641791,0.4791666666666667,0.32857142857142857,0.3898305084745763,0.4345982142857143,"[[39, 25], [47, 23]]",0.81,11,0.18181818181818182,-0.00010528273929529347,-0.0012825351877790295,-0.014191986870810913,-2.949187116108773,-0.48491759327329076,0.0023,,,,0.9687327932113471,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_hgb_20251016_212210.csv
BTCUSDT,4h,120 days ago UTC,16,linsvc,673,time,0.2,,direction,0.0,0.47761194029850745,0.0,0.0,0.0,0.4810267857142857,"[[64, 0], [70, 0]]",0.5,0,,0.0,,0.0,,,0.0023,,,,0.7497855333489645,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_linsvc_20251016_212215.csv
BTCUSDT,4h,120 days ago UTC,16,bilstm,658,time,0.2,,direction,0.0,0.48091603053435117,0.49504950495049505,0.746268656716418,0.5952380952380952,0.44822761194029853,"[[13, 51], [17, 50]]",0.785,0,,0.0,,0.0,,,0.0023,,,,0.7429779303274838,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_bilstm_20251016_212224.csv
BTCUSDT,4h,120 days ago UTC,16,gru_lstm,658,time,0.2,,direction,0.0,0.48854961832061067,0.5,0.2835820895522388,0.3619047619047619,0.4587220149253731,"[[45, 19], [48, 19]]",0.82,1,1.0,1.508036681875178e-05,0.0019755280532564833,0.0019755280532565145,4.088710952355082,,0.0023,,,,0.7770122255943318,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_gru_lstm_20251016_212234.csv
BTCUSDT,4h,120 days ago UTC,16,hybrid_transformer,658,time,0.2,,direction,0.0,0.4732824427480916,0.4791666666666667,0.34328358208955223,0.4,0.4563899253731344,"[[39, 25], [44, 23]]",0.715,0,,0.0,,0.0,,,0.0023,,,,0.7267742762634422,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_hybrid_transformer_20251016_212242.csv
BTCUSDT,4h,120 days ago UTC,16,voting_soft,673,time,0.2,,direction,0.0,0.43283582089552236,0.44,0.3142857142857143,0.36666666666666664,0.421875,"[[36, 28], [48, 22]]",0.74,1,1.0,1.5049751471639223e-05,0.002016666697199656,0.002016666697199687,4.042682720927968,,0.0023,,,,0.7442649921656556,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_voting_soft_20251016_212248.csv
BTCUSDT,4h,120 days ago UTC,16,stacking,673,time,0.2,,direction,0.0,0.47761194029850745,0.5,0.4142857142857143,0.453125,0.5078125,"[[35, 29], [41, 29]]",0.59,7,0.5714285714285714,1.2964849340484423e-05,0.00024818425880355897,0.0016723944067704721,0.6081265026052384,0.08159510749768642,0.0023,,,,0.7062766078049605,predictions/PRICE_120_days_ago_UTC_BTCUSDT_4h_stacking_20251016_212307.csv
BTCUSDT,8h,120 days ago UTC,16,logreg,313,time,0.2,,direction,0.0,0.5161290322580645,0.5161290322580645,1.0,0.6808510638297872,0.4645833333333334,"[[0, 30], [0, 32]]",0.545,0,,0.0,,0.0,,,0.0023,,,,0.6939991868354068,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_logreg_20251016_212318.csv
BTCUSDT,8h,120 days ago UTC,16,sgdlog,313,time,0.2,,direction,0.0,0.4838709677419355,0.0,0.0,0.0,0.5375,"[[30, 0], [32, 0]]",0.5,0,,0.0,,0.0,,,0.0023,,,,1.111548316381864,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_sgdlog_20251016_212323.csv
BTCUSDT,8h,120 days ago UTC,16,rf,313,time,0.2,,direction,0.0,0.46774193548387094,0.4666666666666667,0.21875,0.2978723404255319,0.525,"[[22, 8], [25, 7]]",0.665,0,,0.0,,0.0,,,0.0023,,,,0.7586535273642968,predictions/PRICE_120_days_ago_UTC_BTCUSDT_8h_rf_20251016_212329.csv
